title,Award Number,year,creator
OPTIMAL DELIVERY OF TWO SIGNALS TO ENHANCE ANTI-HIV CTL,R21AI046328,2000,"LIU, YANG;"
OPTIMAL DELIVERY OF TWO SIGNALS TO ENHANCE ANTI-HIV CTL,R21AI046328,2001,"LIU, YANG;"
DEVELOPMENT/EVALUATION OF HYBRID NOVEL MUCOSAL VACCINES,R21AI046329,2000,"FRAZER, IAN H;"
"VA NET, COORDINATING AND OPERATIONS RESEARCH CENTER",R21AI046391,2000,"HAMILTON, JOHN D;"
COXSACKIEVIRUSES AS CHIMERIC HIV VACCINE VECTORS,R21AI046948,2000,"TRACY, STEVEN M;"
COXSACKIEVIRUSES AS CHIMERIC HIV VACCINE VECTORS,R21AI046948,2001,"TRACY, STEVEN M;"
ROLE OF CYCLOPHILIN A IN THE HIV-1 LIFE CYCLE,R21AI046958,2000,"GALLAY, PHILIPPE ANDRE;"
HIV CHEMOKINE-LIKE PROTEINS,R21AI046960,2000,"LUDWIG, LINDA B;"
ENHANCED T AND B CELL RESPONSES VIA RECOMBINANT PROTEINS,R21AI046968,2000,"GOSSELIN, EDMUND J;"
ENHANCED T AND B CELL RESPONSES VIA RECOMBINANT PROTEINS,R21AI046968,2001,"GOSSELIN, EDMUND J;"
DESIGN AND EXPRESSION OF FOLDED GP120 VARIANTS,R21AI046984,2000,"VARADARAJAN, RAGHAVAN;"
DESIGN AND EXPRESSION OF FOLDED GP120 VARIANTS,R21AI046984,2001,"VARADARAJAN, RAGHAVAN;"
FORMULATION FOR MUCOSAL IMMUNIZATION AGAINST HIV,R21AI047014,2000,"BOT, ADRIAN;"
FORMULATION FOR MUCOSAL IMMUNIZATION AGAINST HIV,R21AI047014,2001,"BOT, ADRIAN;"
DNA VACCINE TO HIV BASED ON CYTOKINE INDUCIBLE PROMOTER,R21AI047016,2000,"ERTL, HILDEGUND C. J.;"
DNA VACCINE TO HIV BASED ON CYTOKINE INDUCIBLE PROMOTER,R21AI047016,2001,"ERTL, HILDEGUND C. J.;"
MINI-HIV VARIANTS AS LIVE-ATTENUATED VACCINE STRAIN,R21AI047017,2000,"BERKHOUT, BENJAMIN;"
MINI-HIV VARIANTS AS LIVE-ATTENUATED VACCINE STRAIN,R21AI047017,2001,"BERKHOUT, BENJAMIN;"
ENHANCEMENT OF CTL RESPONSE AGAINST SHIV ANTIGENS,R21AI047018,2000,"YANG, CHINGLAI;"
ENHANCEMENT OF CTL RESPONSE AGAINST SHIV ANTIGENS,R21AI047018,2001,"YANG, CHINGLAI;"
IMMUNOGENICITY OF HIV PROTEINS WITH ALPHA-GAL AND TTP,R21AI047019,2000,"KRAUS, GUNTER;"
IMMUNOGENICITY OF HIV PROTEINS WITH ALPHA-GAL AND TTP,R21AI047019,2001,"GEFFIN, REBECCA;"
HIV IMMUNE RESPONSE IN RWANDAN RAPID AND NON-PROGRESSORS,R21AI047023,2000,"JOLLY, PAULINE E;"
INDUCTION OF PERSISTENT IMMUNITY BY PARVOVIRAL VECTORS,R21AI047027,2000,"TATTERSALL, PETER;"
INDUCTION OF PERSISTENT IMMUNITY BY PARVOVIRAL VECTORS,R21AI047027,2001,"TATTERSALL, PETER;"
INDUCING APOPTOSIS TO AUGMENT CROSS-PRIMING FOR CTL,R21AI047043,2000,"HILL, ANN B;"
INDUCING APOPTOSIS TO AUGMENT CROSS-PRIMING FOR CTL,R21AI047043,2001,"HILL, ANN B;"
RECOMBINANT LISTERIA--BIOLOGIC VACCINE VECTOR FOR FIV,R21AI047046,2000,"DEAN, GREGG A;"
RECOMBINANT LISTERIA--BIOLOGIC VACCINE VECTOR FOR FIV,R21AI047046,2001,"DEAN, GREGG A;"
SINGLE CHAIN HIV GP120-CD4 COMPLEX,R21AI047066,2000,"DEVICO, ANTHONY L;"
SINGLE CHAIN HIV GP120-CD4 COMPLEX,R21AI047066,2001,"DEVICO, ANTHONY L;"
RT-SHIV MODEL FOR RESISTANCE TO AIDS THERAPY,R21AI047070,2000,"NORTH, THOMAS W;"
ISS AS AN ADJUVANT FOR SIV/HIV-BASED VACCINE,R21AI047078,2000,"RAZ, EYAL;"
ISS AS AN ADJUVANT FOR SIV/HIV-BASED VACCINE,R21AI047078,2001,"RAZ, EYAL;"
SOLID STATE NMR STUDIES OF THE HIV-1 FUSION PEPTIDE,R21AI047153,2000,"WELIKY, DAVID PAUL;"
TAT AS A VACCINE TARGET,R21AI047471,1999,"RAPPAPORT, JAY;"
TAT AS A VACCINE TARGET IN MACAQUES,R21AI047471,2000,"RAPPAPORT, JAY;"
TRANSPLANT OF TRANSDUCED AUTOLOGOUS STROMAL CELLS,R21AI047477,1999,"TARANTAL, ALICE F;"
CLINICAL STUDIES OF THERAPORE-HIV: A T CELL VACCINE,R21AI047479,2000,"LIEBERMAN, JUDY;"
Lentiviral Genome Processing,R21AI047536,2003,"POESCHLA, ERIC M.;"
Optizimizing Listeria for use as an HIV Vaccine,R21AI047664,2001,"FRANKEL, FRED ROBERT;"
Optimizing Listeria for use as an HIV Vaccine,R21AI047664,2002,"FRANKEL, FRED ROBERT;"
INCREASED FUNCTIONAL LONGEVITY OF HIV MEMORY T CELLS,R21AI047665,2000,"EFFROS, RITA BRICKMAN;"
INCREASED FUNCTIONAL LONGEVITY OF HIV MEMORY T CELLS,R21AI047665,2001,"EFFROS, RITA BRICKMAN;"
HIV GP 120 AND HETEROLOGOUS T CELL HELPER EPITOPES,R21AI047680,2001,"FARZAN, MICHAEL R.;"
HIV GP 120 AND HETEROLOGOUS T CELL HELPER EPITOPES,R21AI047680,2002,"FARZAN, MICHAEL R.;"
HIV GP 120 AND HETEROLOGOUS T CELL HELPER EPITOPES,R21AI047680,2002,"FARZAN, MICHAEL R.;"
PRESENTATION OF INACTIVATED SIV BY DENDRITIC CELLS,R21AI047681,2000,"ROBBIANI, MELISSA J;"
PRESENTATION OF INACTIVATED SIV BY DENDRITIC CELLS,R21AI047681,2001,"ROBBIANI, MELISSA J;"
PRESENTATION OF INACTIVATED SIV BY DENDRITIC CELLS,R21AI047681,2001,"ROBBIANI, MELISSA J;"
VERTICAL TRANSMISSION OF SUBTYPE C HIV IN ZIMBABWE,R21AI047684,2001,"KATZENSTEIN, DAVID ALLENBERG;"
HIV-1 ENVELOPE-CD4-CORECEPTOR COMPLEXES AS VACCINES,R21AI047697,2000,"BRODER, CHRISTOPHER;"
HIV-1 ENVELOPE-CD4-CORECEPTOR COMPLEXES AS VACCINES,R21AI047697,2001,"BRODER, CHRISTOPHER;"
ROLE OF HOST-ENCODED MOLECULES ON HIV VIRIONS,R21AI047703,2001,"CORBEIL, JACQUES;"
ROLE OF HIV 1 VIF PROTEIN IN ASSEMBLY OF THE RT COMPLEX,R21AI047720,2000,"ZHANG, HUI;"
A SCALABLE PHOTOCHEMICAL INACTIVATION PROCESS FOR HIV,R21AI047731,2000,"SHEPPARD, HAYNES W;"
A SCALABLE PHOTOCHEMICAL INACTIVATION PROCESS FOR HIV,R21AI047731,2001,"SHEPPARD, HAYNES W;"
"Hypoxia, Latency and Reactivation in M tuberculosis",R21AI047744,2001,"SHERMAN, DAVID R;"
BIOMATHEMATICAL ANALYSIS OF VIRAL DYNAMICS AND EVOLUTION,R21AI047745,2000,"RICHMAN, DOUGLAS D;"
"HIV-SPECIFIC CTL IN EXPOSED, UNINFECTED INDIVIDUALS",R21AI047746,2000,"SHACKLETT, BARBARA L;"
"HIV-SPECIFIC CTL IN EXPOSED, UNINFECTED INDIVIDUALS",R21AI047746,2000,"SHACKLETT, BARBARA L;"
"HIV-SPECIFIC CTL IN EXPOSED, UNINFECTED INDIVIDUALS",R21AI047746,2001,"SHACKLETT, BARBARA L;"
Hemolysin and Immunobiology of Chancroid,R21AI047880,2001,"TOTTEN, PATRICIA A;"
E COLI LT AS A RECTAL AND VAGINAL MUCOSAL ADJUVANT,R21AI048133,2000,"KOZLOWSKI, PAMELA ANN;"
E COLI LT AS A RECTAL AND VAGINAL MUCOSAL ADJUVANT,R21AI048133,2001,"KOZLOWSKI, PAMELA ANN;"
E COLI LT AS A RECTAL AND VAGINAL MUCOSAL ADJUVANT,R21AI048133,2001,"KOZLOWSKI, PAMELA ANN;"
MUCOSAL IMMUNITY TO HIV ENV BY ORAL VACCINATION,R21AI048370,2000,"KOZBOR, DANUTA B;"
MUCOSAL IMMUNITY TO HIV ENV BY ORAL VACCINATION,R21AI048370,2001,"KOZBOR, DANUTA B;"
MUCOSAL IMMUNITY TO HIV ENV BY ORAL VACCINATION,R21AI048370,2001,"KOZBOR, DANUTA B;"
EXPRESSION OF SIVmac239 GP120 IN TRANSGENIC MAIZE,R21AI048374,2000,"JILKA, JOSEPH M;"
EXPRESSION OF SIVmac239 GP120 IN TRANSGENIC MAIZE,R21AI048374,2001,"JILKA, JOSEPH M;"
BIOPHYSICAL &IMMUNOLOGIC ANALYSIS OF GP41 INTERMEDIATES,R21AI048385,2000,"LU, MIN;"
BIOPHYSICAL &IMMUNOLOGIC ANALYSIS OF GP41 INTERMEDIATES,R21AI048385,2001,"LU, MIN;"
KUNJIN VIRUS REPLICON AS A VECTOR FOR HIV VACCINE.,R21AI048420,2000,"KHROMYKH, ALEXANDER A;"
KUNJIN VIRUS REPLICON AS A VECTOR FOR HIV VACCINE.,R21AI048420,2001,"KHROMYKH, ALEXANDER A;"
EFFECTS OF ANTI-4-1BB ON SIV-SPECIFIC CELLULAR IMMUNITY,R21AI048471,2000,"ALTMAN, JOHN DAVID;"
EFFECTS OF ANTI-4-1BB ON SIV-SPECIFIC CELLULAR IMMUNITY,R21AI048471,2001,"MITTLER, ROBERT S;"
Mucosal Vaccines: Memory Type-1 Immune Response to HIV,R21AI048472,2001,"PACHECO, SUSAN E;"
TARGETED DELIVERY OF ANTIGENS TO INDUCE HIV IMMUNITY,R21AI048477,2001,"JABBAR, M ABDUL;"
TARGETED DELIVERY OF ANTIGENS TO INDUCE HIV IMMUNITY,R21AI048477,2002,"JABBAR, M ABDUL;"
CHEMOKINE RECEPTORS AND NATURAL HOST RESISTANCE TO SIV,R21AI048478,2000,"ALLAN, JONATHAN S;"
WIHS Treatment Exposure and Viral Rebound Study,R21AI048483,2004,"GREENBLATT, RUTH MARTHA;"
Function of Opa and LOS in gonococcal pathogenesis,R21AI048703,2002,"STEIN, DANIEL C;"
CD4 and C3d fusion proteins-antibodies to HIV-1 envelope,R21AI049061,2001,"ROSS, TED M;"
CD4 and C3d fusion proteins-antibodies to HIV-1 envelope,R21AI049061,2002,"ROSS, TED M;"
RNA-specific ligands: An Approach to New Antivirals,R21AI049062,2004,"BEAL, PETER A.;"
OPTIMIZED HIV -SPECIFIC CTL ANTIGENS FOR VACCINE DESIGN,R21AI049086,2001,"BLONDELLE, SYLVIE E;"
OPTIMIZED HIV -SPECIFIC CTL ANTIGENS FOR VACCINE DESIGN,R21AI049086,2002,"BLONDELLE, SYLVIE E;"
NOVEL METHOD TO EVALUATE HIV-SPECIFIC CTL RESPONSES,R21AI049089,2001,"FEINBERG, MARK B.;"
NOVEL METHOD TO EVALUATE HIV-SPECIFIC CTL RESPONSES,R21AI049089,2002,"FEINBERG, MARK B.;"
MIMOTOPE CONVERSION OF HIV-1 CARBOHYDRATE ANTIGENS,R21AI049092,2001,"KIEBER-EMMONS, THOMAS;"
LENTIVIRUS ATTENUATION THROUGH HIGH FIDELITY REPLICATION,R21AI049102,2001,"DEWHURST, STEPHEN;"
LENTIVIRUS ATTENUATION THROUGH HIGH FIDELITY REPLICATION,R21AI049102,2002,"DEWHURST, STEPHEN;"
QUANTITATIVE ANALYSIS OF CD8 T CELL RESPONSE TO SIV,R21AI049115,2001,"SODORA, DONALD L;"
QUANTITATIVE ANALYSIS OF CD8 T CELL RESPONSE TO SIV,R21AI049115,2002,"SODORA, DONALD L;"
ENHANCEMENT OF HIV IMMUNOGENICITY BY INFLUENZA VIRUS,R21AI049116,2001,"YAO, QIZHI C.;"
ENHANCEMENT OF HIV IMMUNOGENICITY BY INFLUENZA VIRUS,R21AI049116,2001,"YAO, QIZHI C.;"
ENHANCEMENT OF HIV IMMUNOGENICITY BY INFLUENZA VIRUS,R21AI049116,2002,"YAO, QIZHI C.;"
De Novo Induction of Simian CTL Using Lentivirus Vectors,R21AI049118,2002,"BARKER, EDWARD;"
CD8+ T cell cytokine production in HIV-1 infection,R21AI049126,2001,"GOEPFERT, PAUL A.;"
CAT/MOUSE MODELS TO EVALUATE PR-TARGETED ANTIVIRALS,R21AI049128,2001,"ELDER, JOHN H;"
Isolation of CD8-tropic HIV 1 that use CD8 as a Receptor,R21AI049130,2002,"SAHA, KUNAL;"
TRANSCRIPTION-REGULATING VECTORS FOR ANTIVIRAL VACCINES,R21AI049135,2001,"COLE, STEVE W;"
TRANSCRIPTION-REGULATING VECTORS FOR ANTIVIRAL VACCINES,R21AI049135,2002,"COLE, STEVE W;"
BLOCKADE OF CD8+ T CELL DEATH BY CXCR4 INHIBITORS,R21AI049136,2001,"O'BRIEN, WILLIAM AUSTIN;"
Pneumocystis Biochemistry: Ubiquinones,R21AI049145,2002,"KANESHIRO, EDNA S;"
"ATTENUATED, RECOMBINANT SHIGELLA AS HIV VACCINE VECTOR",R21AI049147,2001,"ZEILE, WILLIAM L;"
"ATTENUATED, RECOMBINANT SHIGELLA AS HIV VACCINE VECTOR",R21AI049147,2002,"ZEILE, WILLIAM L;"
Rabies Virus-Based Vectors as an HIV -1 Vaccine,R21AI049153,2004,"SCHNELL, MATTHIAS JOHANNES;"
Impact of HIV-1 Fitness on Disease Progression,R21AI049170,2001,"ARTS, ERIC J;"
MYCOTHIOL BIOSYNTHESIS AND METABOLISM AS TB DRUG TARGETS,R21AI049174,2003,"FAHEY, ROBERT C;"
Signaling by a Tyrosine-Deficient IL-2/15 Receptor Beta,R21AI049329,2001,"GAFFEN, SARAH L.;"
Structural Dissection of the HGPRT Reaction Mechanism,R21AI049443,2001,"BORHANI, DAVID W;"
STABILIZING ENV IN VIRUS-LIKE PARTICLE IMMUNOGENS,R21AI049566,2000,"BINLEY, JAMES M;"
STABILIZING ENV IN VIRUS-LIKE PARTICLE IMMUNOGENS,R21AI049566,2000,"BINLEY, JAMES M;"
STABILIZING ENV IN VIRUS-LIKE PARTICLE IMMUNOGENS,R21AI049566,2001,"BINLEY, JAMES M;"
HIV-1 DNA VACCINES THAT TARGET AND ACTIVATE CD40,R21AI049586,2000,"LEDBETTER, JEFFREY A;"
HIV-1 DNA VACCINES THAT TARGET AND ACTIVATE CD40,R21AI049586,2001,"LEDBETTER, JEFFREY A;"
NOVEL VECTOR DESIGN TO EXPRESS MULTIPLE ANTIGENS,R21AI049649,2000,"AYYAVOO, VELPANDI;"
NOVEL VECTOR DESIGN TO EXPRESS MULTIPLE ANTIGENS,R21AI049649,2001,"AYYAVOO, VELPANDI;"
Role of Vif in HIV-1 Replication/AIDS,R21AI049729,2001,"KABAT, DAVID;"
Growth/Development of T. cruzi:An Emerging AIDS Pathogen,R21AI049749,2001,"ORR, GEORGE A;"
The CD4 Binding Site on HIV gp120 as a Vaccine Antigen,R21AI049753,2002,"TEINTZE, MARTIN;"
The CD4 Binding Site on HIV gp120 as a Vaccine Antigen,R21AI049753,2003,"TEINTZE, MARTIN;"
Mucosal Vaccine to HIV-1 Gag,R21AI049766,2001,"ERTL, HILDEGUND C. J.;"
Mucosal Vaccine to HIV-1 Gag,R21AI049766,2002,"ERTL, HILDEGUND C. J.;"
Recombinant archaeal organelles of SIV and HIV antigens,R21AI049772,2001,"STUART, ELIZABETH S;"
Recombinant archaeal organelles of SIV and HIV antigens,R21AI049772,2002,"STUART, ELIZABETH S;"
Transgenic B-Cell Immunogenes,R21AI049774,2001,"ZANETTI, MAURIZIO;"
Transgenic B-Cell Immunogenes,R21AI049774,2002,"ZANETTI, MAURIZIO;"
Combination DNA and Attenuated Virus Vaccine for SIV,R21AI049789,2001,"NOVEMBRE, FRANCIS J;"
Combination DNA and Attenuated Virus Vaccine for SIV,R21AI049789,2002,"NOVEMBRE, FRANCIS J;"
EFFECTOR/MEMORY CD8 T CELL FUNCTIONS IN HIV INFECTION,R21AI049792,2001,"SHANKAR, PREMLATA;"
Strategies to Prevent SIV Binding to Macaque DC-SIGN,R21AI049803,2001,"KIMATA, JASON T;"
Strategies to Prevent SIV Binding to Macaque DC-SIGN,R21AI049803,2002,"KIMATA, JASON T;"
HSV Amplicon Vectors for HIV Vaccine Development,R21AI049804,2001,"EVANS, THOMAS G;"
HSV Amplicon Vectors for HIV Vaccine Development,R21AI049804,2002,"DANDEKAR, SATYA;"
Analysis of Interaction between DC and HIV virions,R21AI049806,2002,"WU, XIAOYUN;"
Peptide Vaccines from Neutralizing Antibodies 2F5 &2G12,R21AI049808,2001,"SCOTT, JAMIE K;"
Peptide Vaccines from Neutralizing Antibodies 2F5 &2G12,R21AI049808,2002,"SCOTT, JAMIE K;"
Suppression of HIV replication by CD8+ cells,R21AI049926,2001,"LEVY, JAY A;"
An MHC Approach to Antiviral Vaccines,R21AI050427,2001,"KITTO, GEORGE B;"
An MHC Approach to Antiviral Vaccines,R21AI050427,2002,"KITTO, GEORGE B;"
Alphavirus Replicons for Mucosal HIV Vaccines,R21AI050430,2001,"VAJDY, MICHAEL S;"
Alphavirus Replicons for Mucosal HIV Vaccines,R21AI050430,2002,"VAJDY, MICHAEL S;"
ROLE OF LIPID RAFTS IN HIV-1 ENTRY,R21AI050461,2001,"POPIK, WALDEMAR;"
Evaluation of GB virus C replication and HIV inhibition,R21AI050478,2001,"STAPLETON, JACK T;"
A Lentivirus Vaccine for HIV,R21AI050480,2001,"SAUTER, SYBILLE L;"
A Lentivirus Vaccine for HIV,R21AI050480,2002,"SAUTER, SYBILLE L;"
Regulation of HIV-1 Preintegration Complexes (PICs),R21AI050489,2002,"KORNBLUTH, RICHARD SYD;"
HIV 1 Gene Polymorphisms Associated with Non Progression,R21AI050490,2002,"GREENOUGH, THOMAS C;"
Lactobacilli: A Vaccine Delivery Vehicle for Women,R21AI050491,2001,"TAO, LIN;"
Lactobacilli: A Vaccine Delivery Vehicle for Women,R21AI050491,2002,"TAO, LIN;"
Modeling RNA-based HIV gene therapeutics in SCID-hu mice,R21AI050492,2001,"AKKINA, RAMESH;"
Targeting early proteins for therapeutic vaccines,R21AI050510,2001,"RAPPAPORT, JAY;"
Immunological control of a persistent viral infection,R21AI050810,2002,"SARAWAR, SALLY R.;"
Nanoengineered HIV-1 Vaccines Based on Tat,R21AI051147,2003,"MUMPER, RUSSELL J;"
Nanoengineered HIV-1 Vaccines Based on Tat,R21AI051147,2004,"MUMPER, RUSSELL J;"
Structure and Function of the SIV/CPmac gp41 Protein,R21AI051151,2002,"LU, MIN;"
Structure and Function of the SIV/CPmac gp41 Protein,R21AI051151,2003,"LU, MIN;"
Prime/Boost Immunization against HIV-1 by Viral Vectors,R21AI051170,2002,"SCHNELL, MATTHIAS JOHANNES;"
Prime/Boost Immunization against HIV-1 by Viral Vectors,R21AI051170,2003,"SCHNELL, MATTHIAS JOHANNES;"
Transient HIV Infection: Its Underlying Mechanisms,R21AI051177,2002,"CLOYD, MILES W.;"
Phage Display Technology in AIDS Vaccine Design,R21AI051188,2002,"BABA, TIMOTHY W;"
Phage Display Technology in AIDS Vaccine Design,R21AI051188,2003,"BABA, TIMOTHY W;"
Gamma Delta T Cells and Innate Immunity in AIDS,R21AI051212,2002,"PAUZA, CHARLES DAVID;"
DNA Vaccines With HIV Virus-like Particles,R21AI051213,2002,"ROSS, TED M;"
DNA Vaccines With HIV Virus-like Particles,R21AI051213,2003,"ROSS, TED M;"
DNA Vaccines With HIV Virus-like Particles,R21AI051213,2003,"ROSS, TED M;"
Multivalent gp41 Peptides as Novel Immunogens,R21AI051235,2003,"WANG, LAI-XI;"
Multivalent gp41 Peptides as Novel Immunogens,R21AI051235,2004,"WANG, LAI-XI;"
Potentiation Immune Resp vs HIV vacc Modula Innate Resp,R21AI051386,2001,"KAJA, MURALI-KRISHNA;"
Potentiation Immune Resp vs HIV vacc Modula Innate Resp,R21AI051386,2002,"KAJA, MURALI-KRISHNA;"
Autoantigen delivery to induce tolerance in diabetes,R21AI051637,2001,"OSBORNE, WILLIAM R;"
Autoantigen delivery to induce tolerance in diabetic ra*,R21AI051637,2002,"OSBORNE, WILLIAM R;"
"Lung TACE, TNFalpha &TNFR Regulation of HIV Replication",R21AI051682,2002,"SKOLNIK, PAUL R;"
Cross-&Intra-Clade Conserved V3 Neutralization Targets,R21AI051987,2002,"KAYMAN, SAMUEL C;"
Cross-&Intra-Clade Conserved V3 Neutralization Targets,R21AI051987,2003,"KAYMAN, SAMUEL C;"
Vaccine to Prevent HIV Infection in Pregnancy &Newborns,R21AI052000,2002,"MARTHAS, MARTA L;"
Vaccine to Prevent HIV Infection in Pregnancy &Newborns,R21AI052000,2003,"MARTHAS, MARTA L;"
HIV and Plasmacytoid dendritic cells in the thymus,R21AI052002,2002,"UITTENBOGAART, CHRISTEL H.;"
Retroviral Antisense Genes as Future DNA Vaccines.,R21AI052006,2002,"LUDWIG, LINDA B;"
Attenuated T.gondii as a Vector for HIV Vaccines,R21AI052026,2002,"BZIK, DAVID J;"
Attenuated T.gondii as a Vector for HIV Vaccines,R21AI052026,2003,"BZIK, DAVID J;"
Epitope specificity of vaccine-induced anti-HIV IgG /IgA,R21AI052027,2002,"STAATS, HERMAN F.;"
Cellular Events in the Pathogenesis of AIDS,R21AI052028,2002,"BUMGARNER, ROGER E;"
Metalloproteinase Functon in Tuberculosis Granulomas,R21AI052040,2004,"IZZO, ANGELO A.;"
Radioimmunotherapy of opportunistic infections,R21AI052042,2002,"DADACHOVA, EKATERINA;"
Radioimmunotherapy of opportunistic infections,R21AI052042,2003,"DADACHOVA, EKATERINA;"
Cell Biology of HIV Entry,R21AI052051,2002,"HOPE, THOMAS J;"
"SIV Capture, Retention, and Spread by Dendritic Cells",R21AI052060,2001,"ROBBIANI, MELISSA J;"
"SIV Capture, Retention, and Spread by Dendritic Cells",R21AI052060,2002,"ROBBIANI, MELISSA J;"
Population dynamics and evolution of drug resistance,R21AI052063,2002,"MITTLER, JOHN E.;"
The Transcriptome of Pathogenic Aspergillus Fumigatus,R21AI052236,2003,"NIERMAN, WILLIAM CHARLES;"
Antimicrobial Peptides in Resistance to Tuberculosis,R21AI052316,2002,"KISICH, KEVIN O;"
T cell immunity to HIV using recombinant enteroviruses,R21AI052705,2002,"RAMSINGH, ARLENE;"
T cell immunity to HIV using recombinant enteroviruses,R21AI052705,2003,"RAMSINGH, ARLENE;"
HIV-1 Vaccine-Induced CD8+ Memory Cells,R21AI052728,2002,"ERTL, HILDEGUND C. J.;"
HIV-1 Vaccine-Induced CD8+ Memory Cells,R21AI052728,2003,"ERTL, HILDEGUND C. J.;"
Nodaviral RNA vaccine vector amplified in yeast,R21AI052736,2002,"PRICE, BARNEY DUANE;"
Nodaviral RNA vaccine vector amplified in yeast,R21AI052736,2003,"BALL, L A;"
Natural IgM antilymphocyte autoantibodies inhibit HIV-1,R21AI052740,2002,"LOBO, PETER;"
Natural IgM antilymphocyte autoantibodies inhibit HIV-1,R21AI052740,2003,"LOBO, PETER;"
HIV DNA vaccine improvement by nuclear targeting,R21AI052742,2002,"MAUL, GERD G;"
HIV DNA vaccine improvement by nuclear targeting,R21AI052742,2003,"MAUL, GERD G;"
AIDS Prevention: Mucosally-Targeted Plant Based Vaccines,R21AI052761,2004,"MOR, TSAFRIR SHLOMO;"
AIDS Prevention: Mucosally-Targeted Plant Based Vaccines,R21AI052761,2005,"MOR, TSAFRIR SHLOMO;"
Immune Response to Oral HIV-1 Tat Expressed in Plants,R21AI052763,2002,"KARASEV, ALEXANDER;"
Immune Response to Oral HIV-1 Tat Expressed in Plants,R21AI052763,2003,"KARASEV, ALEXANDER;"
Parasitic Infection Alters Quality of Immune Response,R21AI052767,2002,"BOYER, JEAN D;"
Parasitic Infection Alters Quality of Immune Response,R21AI052767,2003,"BOYER, JEAN D;"
A Novel Scrambled Antigen DNA Vaccine (SAVINE) Strategy,R21AI052773,2003,"MURPHEY-CORB, MICHAEL A;"
"A New Target for Anti-tuberculosis Agents, FAS 1",R21AI052777,2002,"WELCH, JOHN T;"
"A New Target for Anti-tuberculosis Agents, FAS 1",R21AI052777,2003,"WELCH, JOHN T;"
Mucosal Immunization with a Vaccinia Virus-Based Vector,R21AI052787,2002,"JACOBS, BERTRAM L.;"
Mucosal Immunization with a Vaccinia Virus-Based Vector,R21AI052787,2003,"JACOBS, BERTRAM L.;"
Generation of Reagents for E. bieneusi Genome Sequencing,R21AI052792,2002,"TZIPORI, SAUL R;"
Generation of Reagents for E. bieneusi Genome Sequencing,R21AI052792,2003,"TZIPORI, SAUL R;"
Uncoventional vectors for codon-optimized HIV antigens,R21AI052806,2002,"GAMBOTTO, ANDREA;"
Uncoventional vectors for codon-optimized HIV antigens,R21AI052806,2003,"GAMBOTTO, ANDREA;"
Genetics of TB: Cytokine Response and Iron,R21AI052821,2002,"LOUIE, LESLIE G;"
TNFSF APC activators for HIV Vaccines,R21AI052842,2002,"KORNBLUTH, RICHARD SYD;"
TNFSF APC activators for HIV Vaccines,R21AI052842,2003,"KORNBLUTH, RICHARD SYD;"
HIV-1 gp120-Conjugate Vaccines,R21AI052844,2003,"ROBINSON, JAMES E;"
HIV-1 gp120-Conjugate Vaccines,R21AI052844,2004,"ROBINSON, JAMES E;"
Screening for Inhibitors of F. tularensis Virulence,R21AI053394,2003,"PIERINI, LYNDA M;"
Screening for Inhibitors of F. tularensis Virulence,R21AI053394,2004,"PIERINI, LYNDA M;"
Development of a Safer Smallpox Vaccine,R21AI053424,2002,"CHO, MICHAEL W;"
Development of a Safer  Smallpox Vaccine,R21AI053424,2003,"CHO, MICHAEL W;"
Novel Antiviral Strategy to Combat Arenaviruses,R21AI053455,2003,"DE LA TORRE, JUAN C.;"
Novel Antiviral Strategy to Combat Arenaviruses,R21AI053455,2004,"DE LA TORRE, JUAN C.;"
MVA/HIV-48: Potential Dual Vaccine for HIV and Smallpox,R21AI053488,2002,"AMARA, RAMA RAO;"
MVA/HIV-48: Potential Dual Vaccine for HIV and Smallpox,R21AI053488,2003,"AMARA, RAMA RAO;"
Assessment of Smallpox Specific Immune Responses,R21AI053501,2002,"DENNY, THOMAS N;"
Assessment of Smallpox Specific Immune Responses,R21AI053501,2003,"DENNY, THOMAS N;"
Genetic Analy. of Chemokine Receptors in T Cell Develop.,R21AI053804,2002,"SU, LISHAN;"
Genetic Analy. of Chemokine Receptors in T Cell Develop.,R21AI053804,2003,"SU, LISHAN;"
Imaging Technology for HIV Nuclear Import Inhibitors,R21AI053806,2002,"BUKRINSKY, MICHAEL ILYA;"
Imaging Technology for HIV Nuclear Import Inhibitors,R21AI053806,2003,"BUKRINSKY, MICHAEL ILYA;"
Neutralizing MAbs elicited by modified HIV envelopes,R21AI053810,2002,"STAMATATOS, LEONIDAS A;"
Neutralizing MAbs elicited by modified HIV envelopes,R21AI053810,2003,"STAMATATOS, LEONIDAS A;"
Safer and More Efficacious Recombinant AIDS Vaccines,R21AI053811,2002,"YILMA, TILAHUN D;"
Safer and More Efficacious Recombinant AIDS Vaccines,R21AI053811,2003,"YILMA, TILAHUN D;"
Biochemical Mechanism of HIV DNA Integration,R21AI053812,2002,"ENGELMAN, ALAN N.;"
Biochemical Mechanism of HIV DNA Integration,R21AI053812,2003,"ENGELMAN, ALAN N.;"
5'/3'-SAGE analysis of gene expression in Toxoplasma,R21AI053815,2002,"WHITE, MICHAEL W;"
5'/3'-SAGE analysis of gene expression in Toxoplasma,R21AI053815,2003,"WHITE, MICHAEL W;"
T Cell Immunity &Liver Fibrosis in HCV/HIV Coinfection,R21AI053817,2002,"MORISHIMA, CHIHIRO;"
